Id,ProductId,ProductCategoryId,CreatedDate
0ZRWj0000006CPtOAM,01tWj00000BMu6rIAD,0ZGam000000isCnGAI,2026-03-04T14:25:19.000+0000
0ZRWj0000006CoYOAU,01tWj00000BN7VaIAL,0ZGam000000itATGAY,2026-03-04T19:44:04.000+0000
0ZRWj0000006CRVOA2,01tWj00000BN7VaIAL,0ZGam000000isCnGAI,2026-03-04T18:30:24.000+0000
0ZRWj0000006CoZOAU,01tWj00000BN7VbIAL,0ZGam000000itATGAY,2026-03-04T19:44:04.000+0000
0ZRWj0000006CRWOA2,01tWj00000BN7VbIAL,0ZGam000000isCnGAI,2026-03-04T18:30:24.000+0000
0ZRWj0000006CRXOA2,01tWj00000BN7VcIAL,0ZGam000000isCnGAI,2026-03-04T18:30:24.000+0000
0ZRWj0000006CoaOAE,01tWj00000BN7VcIAL,0ZGam000000itATGAY,2026-03-04T19:44:04.000+0000
0ZRWj0000006CT8OAM,01tWj00000BN7VdIAL,0ZGam000000isG1GAI,2026-03-04T18:43:08.000+0000
0ZRWj0000006CoVOAU,01tWj00000BN7VdIAL,0ZGam000000itATGAY,2026-03-04T19:44:04.000+0000
0ZRWj0000006CoWOAU,01tWj00000BN7VeIAL,0ZGam000000itATGAY,2026-03-04T19:44:04.000+0000
0ZRWj0000006CT9OAM,01tWj00000BN7VeIAL,0ZGam000000isG1GAI,2026-03-04T18:43:08.000+0000
0ZRWj0000006CoXOAU,01tWj00000BN7VfIAL,0ZGam000000itATGAY,2026-03-04T19:44:04.000+0000
0ZRWj0000006CTAOA2,01tWj00000BN7VfIAL,0ZGam000000isG1GAI,2026-03-04T18:43:08.000+0000
0ZRWj0000006CUtOAM,01tWj00000BN7VgIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqXOAU,01tWj00000BN7VgIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CUuOAM,01tWj00000BN7VhIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqYOAU,01tWj00000BN7VhIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CqZOAU,01tWj00000BN7ViIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CUvOAM,01tWj00000BN7ViIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqaOAE,01tWj00000BN7VjIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CTEOA2,01tWj00000BN7VjIAL,0ZGam000000isG1GAI,2026-03-04T18:43:08.000+0000
0ZRWj0000006CqbOAE,01tWj00000BN7VkIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CTFOA2,01tWj00000BN7VkIAL,0ZGam000000isG1GAI,2026-03-04T18:43:08.000+0000
0ZRWj0000006CTGOA2,01tWj00000BN7VlIAL,0ZGam000000isG1GAI,2026-03-04T18:43:08.000+0000
0ZRWj0000006CqcOAE,01tWj00000BN7VlIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CqSOAU,01tWj00000BN7VmIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CUoOAM,01tWj00000BN7VmIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CUpOAM,01tWj00000BN7VnIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqTOAU,01tWj00000BN7VnIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CUqOAM,01tWj00000BN7VoIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqUOAU,01tWj00000BN7VoIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CqVOAU,01tWj00000BN7VpIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CUrOAM,01tWj00000BN7VpIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqWOAU,01tWj00000BN7VqIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CUsOAM,01tWj00000BN7VqIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqdOAE,01tWj00000BN7VrIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CWTOA2,01tWj00000BN7VrIAL,0ZGam000000isG1GAI,2026-03-04T19:06:00.000+0000
0ZRWj0000006CqeOAE,01tWj00000BN7VsIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CWUOA2,01tWj00000BN7VsIAL,0ZGam000000isG1GAI,2026-03-04T19:06:00.000+0000
0ZRWj0000006CrJOAU,01tWj00000BN7VtIAL,0ZGam000000itATGAY,2026-03-04T19:51:07.000+0000
0ZRWj0000006CUzOAM,01tWj00000BN7VtIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqiOAE,01tWj00000BN7VuIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CY9OAM,01tWj00000BN7VuIAL,0ZGam000000isHdGAI,2026-03-04T19:11:29.000+0000
0ZRWj0000006CqpOAE,01tWj00000BN7VvIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CWVOA2,01tWj00000BN7VvIAL,0ZGam000000isG1GAI,2026-03-04T19:06:00.000+0000
0ZRWj0000006CqqOAE,01tWj00000BN7VwIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CWWOA2,01tWj00000BN7VwIAL,0ZGam000000isG1GAI,2026-03-04T19:06:00.000+0000
0ZRWj0000006CWXOA2,01tWj00000BN7VxIAL,0ZGam000000isG1GAI,2026-03-04T19:06:00.000+0000
0ZRWj0000006CqrOAE,01tWj00000BN7VxIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CqfOAE,01tWj00000BN7VyIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CUwOAM,01tWj00000BN7VyIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CUxOAM,01tWj00000BN7VzIAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqgOAE,01tWj00000BN7VzIAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CqhOAE,01tWj00000BN7W0IAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CUyOAM,01tWj00000BN7W0IAL,0ZGam000000isBBGAY,2026-03-04T18:59:44.000+0000
0ZRWj0000006CqjOAE,01tWj00000BN7W1IAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CZsOAM,01tWj00000BN7W1IAL,0ZGam000000isBBGAY,2026-03-04T19:16:25.000+0000
0ZRWj0000006CqkOAE,01tWj00000BN7W2IAL,0ZGam000000itATGAY,2026-03-04T19:48:52.000+0000
0ZRWj0000006CZtOAM,01tWj00000BN7W2IAL,0ZGam000000isBBGAY,2026-03-04T19:16:25.000+0000
