Id,Name,Status,WebStoreId,AccountId,TotalAmount,CreatedDate
0a6Wj000000iy25IAA,Default_Cart_Name,Active,0ZEam000004dJDNGA2,005am00000CvLVRAA3,0,2026-02-26T14:54:02.000+0000
0a6Wj000000jxdRIAQ,Default_Cart_Name,Active,0ZEam000004dJDNGA2,005am00000CZJcrAAH,820,2026-03-12T16:32:18.000+0000
0a6Wj000000k0TFIAY,Default_Cart_Name,Active,0ZEam000004dJDNGA2,005am00000CZJcrAAH,410,2026-03-12T21:25:36.000+0000
0a6Wj000000k473IAA,Default_Cart_Name,Active,0ZEam000004dJDNGA2,005am00000CZJcrAAH,861,2026-03-13T18:08:15.000+0000
0a6Wj000000kiCXIAY,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,1695,2026-03-24T18:08:37.000+0000
0a6Wj000000kjzpIAA,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:36.000+0000
0a6Wj000000kk1RIAQ,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:39.000+0000
0a6Wj000000kk33IAA,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:40.000+0000
0a6Wj000000kk4fIAA,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:40.000+0000
0a6Wj000000kk6HIAQ,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:41.000+0000
0a6Wj000000kk7tIAA,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:42.000+0000
0a6Wj000000kk9VIAQ,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:43.000+0000
0a6Wj000000kkB7IAI,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:43.000+0000
0a6Wj000000kkCjIAI,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:45.000+0000
0a6Wj000000kkELIAY,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:46.000+0000
0a6Wj000000kkFxIAI,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:20:53.000+0000
0a6Wj000000kkHZIAY,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:21:04.000+0000
0a6Wj000000kkJBIAY,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:21:05.000+0000
0a6Wj000000kkKnIAI,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:21:06.000+0000
0a6Wj000000kkMPIAY,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-24T21:21:08.000+0000
0a6Wj000000kkhNIAQ,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,1695,2026-03-24T22:07:47.000+0000
0a6Wj000000kkizIAA,Default_Cart_Name,PendingDelete,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,2670,2026-03-24T22:07:48.000+0000
0a6Wj000000kkkbIAA,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,1695,2026-03-24T22:07:48.000+0000
0a6Wj000000klojIAA,Default_Cart_Name,PendingDelete,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,861,2026-03-25T12:24:10.000+0000
0a6Wj000000klvBIAQ,Default_Cart_Name,PendingDelete,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,2105,2026-03-25T12:38:47.000+0000
0a6Wj000000knKHIAY,Default_Cart_Name,Active,0ZEam000004dJDNGA2,005am00000CZJcrAAH,2105,2026-03-25T15:59:12.000+0000
0a6Wj000000knYnIAI,Default_Cart_Name,Active,0ZEam000004dJDNGA2,005am00000CZJcrAAH,2670,2026-03-25T16:30:42.000+0000
0a6Wj000000kr2vIAA,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-26T12:11:27.000+0000
0a6Wj000000krULIAY,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,4662,2026-03-26T13:00:58.000+0000
0a6Wj000000ks2DIAQ,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,765,2026-03-26T14:04:47.000+0000
0a6Wj000000kvMfIAI,Default_Cart_Name,Checkout,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,0,2026-03-26T20:32:52.000+0000
0a6Wj000000kvjFIAQ,Default_Cart_Name,Active,0ZEam000004dJDNGA2,3K0am000000d3dxCAA,3871.5,2026-03-26T21:54:21.000+0000
0a6am000001JuSXAA0,Default_Cart_Name,Active,0ZEam000004dJDNGA2,005am00000CZJcrAAH,0,2026-02-18T19:03:08.000+0000
